row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_rssi_diff
1,45.8460063,13.7172005,-101.0,-74.63,26.370000000000005
2,45.8528193,13.7467745,-78.0,-88.62,-10.620000000000005
3,45.8488306,13.7617505,-78.0,-62.519999999999996,15.480000000000004
4,45.8544186,13.7374286,-72.0,-57.23,14.770000000000003
5,45.8535875,13.7399743,-73.0,-57.04,15.96
6,45.845561,13.7709561,-114.0,-107.26,6.739999999999995
7,45.853614,13.7389813,-76.0,-56.75,19.25
8,45.8516095,13.7195063,-93.0,-63.709999999999994,29.290000000000006
9,45.8518385,13.715802,-91.0,-60.18000000000001,30.819999999999993
10,45.851138,13.7549493,-83.0,-60.8,22.200000000000003
11,45.8462985,13.7232728,-66.0,-56.54,9.46
12,45.8523505,13.7330326,-68.0,-55.08,12.920000000000002
13,45.8480896,13.726186,-77.0,-53.94,23.060000000000002
14,45.8533136,13.7175675,-78.0,-60.129999999999995,17.870000000000005
15,45.8528453,13.7474023,-86.0,-87.71,-1.7099999999999937
16,45.8482043,13.70682,-106.0,-83.86,22.14
17,45.8508315,13.721793,-81.0,-62.81999999999999,18.180000000000007
18,45.853602,13.740327,-75.0,-57.2,17.799999999999997
19,45.8500125,13.7586446,-85.0,-61.730000000000004,23.269999999999996
20,45.8528218,13.7473031,-93.0,-87.83,5.170000000000002
21,45.8530638,13.7483061,-97.0,-59.260000000000005,37.739999999999995
22,45.853832,13.7398613,-72.0,-57.29,14.71
23,45.8535968,13.7399806,-71.0,-57.04,13.96
